02-Aug-2022/10:23:41	: Waiting ScreenRecord
02-Aug-2022/10:23:41	: Waiting For Audio
02-Aug-2022/10:23:42	: Waiting For Audio
02-Aug-2022/10:23:42	: Waiting ScreenRecord
02-Aug-2022/10:23:42	: Waiting For Audio
02-Aug-2022/10:23:42	: Waiting ScreenRecord
02-Aug-2022/10:23:43	: Waiting For Audio
02-Aug-2022/10:23:43	: Waiting ScreenRecord
02-Aug-2022/10:23:43	: Waiting For Audio
02-Aug-2022/10:23:43	: Waiting ScreenRecord
02-Aug-2022/10:23:44	: Waiting ScreenRecord
02-Aug-2022/10:23:44	: Waiting For Audio
02-Aug-2022/10:23:44	: Waiting For Audio
02-Aug-2022/10:23:44	: Waiting ScreenRecord
02-Aug-2022/10:23:45	: Waiting For Audio
02-Aug-2022/10:23:45	: Waiting ScreenRecord
02-Aug-2022/10:23:45	: Waiting ScreenRecord
02-Aug-2022/10:23:45	: Waiting For Audio
02-Aug-2022/10:23:46	: Waiting For Audio
02-Aug-2022/10:23:46	: Waiting ScreenRecord
02-Aug-2022/10:23:46	: Waiting ScreenRecord
02-Aug-2022/10:23:46	: Waiting For Audio
02-Aug-2022/10:23:47	: Waiting ScreenRecord
02-Aug-2022/10:23:47	: Waiting For Audio
02-Aug-2022/10:23:47	: Waiting For Audio
02-Aug-2022/10:23:47	: Waiting ScreenRecord
02-Aug-2022/10:23:48	: Waiting For Audio
02-Aug-2022/10:23:48	: Waiting ScreenRecord
02-Aug-2022/10:23:48	: Waiting ScreenRecord
02-Aug-2022/10:23:48	: Waiting For Audio
02-Aug-2022/10:23:49	: Waiting For Audio
02-Aug-2022/10:23:49	: Waiting ScreenRecord
02-Aug-2022/10:23:49	: Waiting For Audio
02-Aug-2022/10:23:49	: Waiting ScreenRecord
02-Aug-2022/10:23:50	: Waiting For Audio
02-Aug-2022/10:23:50	: Waiting ScreenRecord
02-Aug-2022/10:23:50	: Waiting For Audio
02-Aug-2022/10:23:50	: Waiting ScreenRecord
02-Aug-2022/10:23:51	: Waiting ScreenRecord
02-Aug-2022/10:23:51	: Waiting For Audio
02-Aug-2022/10:23:51	: Waiting For Audio
02-Aug-2022/10:23:51	: Waiting ScreenRecord
02-Aug-2022/10:23:52	: Waiting ScreenRecord
02-Aug-2022/10:23:52	: Waiting For Audio
02-Aug-2022/10:23:52	: Waiting ScreenRecord
02-Aug-2022/10:23:52	: Waiting For Audio
02-Aug-2022/10:23:53	: Waiting ScreenRecord
02-Aug-2022/10:23:53	: Waiting For Audio
02-Aug-2022/10:23:53	: Waiting For Audio
02-Aug-2022/10:23:53	: Waiting ScreenRecord
02-Aug-2022/10:23:54	: Waiting ScreenRecord
02-Aug-2022/10:23:54	: Waiting For Audio
02-Aug-2022/10:23:54	: Waiting ScreenRecord
02-Aug-2022/10:23:54	: Waiting For Audio
02-Aug-2022/10:23:55	: Waiting ScreenRecord
02-Aug-2022/10:23:55	: Waiting For Audio
02-Aug-2022/10:23:55	: Waiting ScreenRecord
02-Aug-2022/10:23:55	: Waiting For Audio
02-Aug-2022/10:23:56	: Waiting For Audio
02-Aug-2022/10:23:56	: Waiting ScreenRecord
02-Aug-2022/10:23:56	: Waiting ScreenRecord
02-Aug-2022/10:23:56	: Waiting For Audio
02-Aug-2022/10:23:57	: Waiting For Audio
02-Aug-2022/10:23:57	: Waiting ScreenRecord
02-Aug-2022/10:23:57	: Waiting ScreenRecord
02-Aug-2022/10:23:57	: Waiting For Audio
02-Aug-2022/10:23:58	: Waiting ScreenRecord
02-Aug-2022/10:23:58	: Waiting For Audio
02-Aug-2022/10:23:58	: Waiting ScreenRecord
02-Aug-2022/10:23:58	: Waiting For Audio
02-Aug-2022/10:23:59	: Waiting For Audio
02-Aug-2022/10:23:59	: Waiting ScreenRecord
02-Aug-2022/10:23:59	: Waiting For Audio
02-Aug-2022/10:23:59	: Waiting ScreenRecord
02-Aug-2022/10:24:00	: Waiting ScreenRecord
02-Aug-2022/10:24:00	: Waiting For Audio
02-Aug-2022/10:24:00	: Waiting ScreenRecord
02-Aug-2022/10:24:00	: Waiting For Audio
02-Aug-2022/10:24:01	: Waiting ScreenRecord
02-Aug-2022/10:24:01	: Waiting For Audio
02-Aug-2022/10:24:01	: Waiting ScreenRecord
02-Aug-2022/10:24:01	: Waiting For Audio
02-Aug-2022/10:24:02	: Waiting For Audio
02-Aug-2022/10:24:02	: Waiting ScreenRecord
02-Aug-2022/10:24:02	: Waiting ScreenRecord
